Khái niệm \"đường bộ\" được hiểu như thế nào là đúng? Đường bộ gồm:|1- Đường, cầu đường bộ.|2- Hầm đường bộ, bến phà đường bộ.|3- Đường, cầu đường bộ, hầm đường bộ, bến phà đường bộ và các công trình phụ trợ khác.|||3|1|1|2|1|1
Khái niệm \"công trình đường bộ\" được hiểu như thế nào là đúng? Công trình đường bộ gồm:|1- Đường bộ, nơi dừng xe, đỗ xe trên đường bộ, đèn tín hiệu, biển báo hiệu, vạch kẻ đường, cọc tiêu.|2- Rào chắn, đảo giao thông, dải phân cách, cột cây số, tường, kè, hệ thống thoát nước, trạm kiểm tra trọng tải xe, trạm thu phí và các công trình, thiết bị phụ trợ khác.|3- Đường bộ, nơi dừng xe, đỗ xe trong khu vực nhà ga đường sắt, cảng hàng không.|||3|1|0|2|1|1
\"Vạch kẻ đường\" được hiểu thế nào là đúng?|1- Vạch kẻ đường là vạch chỉ sự phân chia làn đường, vị trí hoặc hướng đi, vị trí dừng lại.|2- Vạch kẻ đường là vạch chỉ sự phân biệt vị trí dừng, đổ trên đường.|3- Tất cả các ý nêu trên|||1|1|1|2|1|1
Khái niệm \"phần đường xe chạy\" được hiểu như thế nào là đúng?|1 - Là phần của đường bộ được sử dụng cho các phương tiện giao thông qua lại.|2- Là phần đường bộ được sử dụng cho các phương tiện giao thông qua lại, dải đất dọc hai bên đường để bảo đảm an toàn giao thông.|3- Là phần đường bộ được sử dụng cho các phương tiện giao thông qua lại, các công trình, thiết bị phụ trợ khác và dải đất dọc hai bên đường để bảo đảm an toàn giao thông.|||1|1|1|2|1|1
Khái niệm \"làn đường\" được hiểu như thế nào là đúng?|1- Là một phần của đường được chia theo chiều ngang của đường, có bề rộng đủ cho xe đỗ an toàn.|2- Là một phần của đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.|3- Cả 02 ý trên.|||2|1|1|1|1|1
Khái niệm \"khổ giới hạn của đường bộ\" được hiểu như thế nào là đúng?|1- Là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.|2- Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.|3- Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.|||1|1|0|1|1|1
Khái niệm \"đường phố'\" được hiểu như thế nào là đúng?|1- Đường phố là đường đô thị, gồm lòng đường và hè phố.|2- Đường phố là đường bộ ngoài đô thị có lòng đường đủ rộng cho các phương tiện giao thông qua lại.|3- Cả 2 ý nêu trên.|||1|1|1|1|1|1
Khái niệm \"dải phân cách\" được hiểu như thế nào là đúng?|1- Là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ.|2- Là bộ phận của đường để xác định ranh giới của đất dành cho đường bộ theo chiều ngang của đường.|3- Là bộ phận của đường để ngăn cách không cho các loại xe vào những nơi không được phép.|||1|1|1|1|1|1
Dải phân cách trên đường bộ có những loại nào?|1- Loại cố định.|2- Loại di động.||||3|1|1|1|1|1
Khái niệm \"đường cao tốc\" được hiểu như thế nào là đúng?|1- Là đường dành cho xe cơ giới, có dải phân cách chia đường cho xe chạy hai chiều riêng biệt; không giao nhau cùng mức với một hoặc các đường khác; được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.|2- Là đường chỉ dành cho xe cơ giới chạy với tốc độ cao, có dải phân cách chia đường cho xe chạy hai chiều ngược nhau riêng biệt; không giao cắt cùng mức với đường khác; bố trí đầy đủ trang thiết bị phục vụ bảo đảm giao thông, an toàn và rút ngắn thời gian hành trình.||||1|1|0|1|1|1
Khái niệm \"đường chính\" được hiểu như thế nào là đúng?|1- Đường chính là đường bảo đảm giao thông chủ yếu trong khu vực.|2- Đường chính là đường quốc lộ được đặt tên, số hiệu do cơ quan có thẩm quyền phân loại và quyết định.|3- Đường chính là đường trong đô thị hoặc đường tỉnh.|||1|1|0|1|1|1
Khái niệm \"đường ưu tiên\" được hiểu như thế nào là đúng?|1- Đường ưu tiên là đường mà trên đó phương tiên tham gia giao thông đường bộ phải nhường đường cho các phương tiện đến từ hướng khác khi qua nơi đường giao nhau, có thể được cắm biển báo hiệu đường ưu tiên.|2- Đường ưu tiên là đường mà trên đó phương tiện tham gia giao thông đường bộ được các phương tiện đến từ hướng khác nhường đường khi qua nơi đường giao nhau, được cắm biển báo hiệu đường ưu tiên.|3- Đường ưu tiên là đường chỉ dành cho một số loại phương tiện tham gia giao thông, được cắm biển báo hiệu đường ưu tiên.|||2|1|1|1|1|1
\"Phương tiện giao thông đường bộ\" gồm những loại nào?|1 - Phương tiện giao thông cơ giới đường bộ, phương tiện giao thông thô sơ đường bộ.|2- Phương tiện giao thông thô sơ đường bộ; phương tiện giao thông cơ giới đường bộ và xe máy chuyên dùng.|3- Cả hai ý nêu trên.|||1|1|1|1|1|1
Khái niệm \"phương tiện giao thông cơ giới đường bộ\" được hiểu thế nào là đúng?|1- Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.|2- Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.||||2|1|1|1|1|1
Khái niệm \"phương tiện giao thông thô sơ đường bộ\" được hiểu thế nào là đúng?|1- Gồm xe đạp (kể cả xe đạp máy), xe xích lô, xe lăn dùng cho người khuyết tật, xe súc vật kéo và các loại xe tương tự.|2- Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.|3- Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.|||1|1|0|1|1|1
\"Phương tiện tham gia giao thông đường bộ\" gồm những loại nào?|1- Phương tiện giao thông cơ giới đường bộ.|2- Phương tiện giao thông thô sơ đường bộ và xe máy chuyên dùng.||||3|1|1|2|1|1
\"Người tham gia giao thông đường bộ\" gồm những đối tượng nào?|1- Người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ.|2- Người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.||||3|1|1|2|1|1
\"Người điều khiển phương tiện tham gia giao thông\" gồm những đối tượng nào?|1- Người điều khiển xe cơ giới, người điều khiển xe thô sơ.|2- Người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.||||3|1|0|2|1|1
Khái niệm \"người điều khiển giao thông\" được hiểu như thế nào là đúng?|1- Là người điều khiển phương tiện tham gia giao thông.|2- Là người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.|3- Là cảnh sát giao thông.|4- Tất cả các ý nêu trên.||6|1|1|2|1|1
Khái niệm \"dừng xe\" được hiểu như thế nào là đúng quy tắc giao thông?|1- Dừng xe là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian để cho người lên, xuống phương tiện đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác.|2- Dừng xe là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.|3- Cả hai ý nêu trên.|||2|1|0|1|1|1
Khái niệm \"đỗ xe\" được hiểu như thế nào là đúng quy tắc giao thông?|1 - Là trạng thái đứng yên của phương tiện giao thông có giới hạn trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác.|2- Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian.|3- Cả hai ý nêu trên.|||2|1|0|1|1|1
Các hành vi nào ghi ở dưới đây bị nghiêm cấm?|1- Phá hoại đường, cầu, hầm, bến phà đường bộ, phá hoại đèn tín hiệu, cọc tiêu, biển báo hiệu, gương cầu, dải phân cách.|2- Phá hoại hệ thống thoát nước và các công trình, thiết bị khác thuộc kết cấu hạ tầng giao thông đường bộ.||||3|1|1|1|1|1
Hành vi đưa xe cơ giới, xe máy chuyên dùng không bảo đảm tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường tham gia giao thông đường bộ có bị nghiêm cấm hay không?|1- Không nghiêm cấm.|2- Bị nghiêm cấm.|3- Bị nghiêm cấm tuỳ theo các tuyến đường.|4- Bị nghiêm cấm tuỳ theo loại xe.||2|1|0|1|1|1
Những hành vi nào ghi ở dưới đây bị nghiêm cấm|1- Đua xe, cổ vũ đua xe, tổ chức đua xe trái phép.|2- Lạng lách, đánh võng.||||3|1|1|1|2|1
Người điểu khiển phương tiện giao thông đường bộ mà trong cơ thể có chất ma túy có bị nghiêm cấm hay không?|1- Bị nghiêm cấm.|2- Không bị nghiêm cấm.||||1|1|1|1|1|1
